collection_object_id,guid,species,country,state,locality,lat,lon,elevation,life_stage,examined_for,detected,not_detected,presence
33466238,UNCG:Mamm:1562,Sorex fumeus,United States,North Carolina,"Nantahala National Forest, Coweeta Hydrological Laboratory, 2.72 km ESE Albert Mountain, along Ball Creek Road",35.03837798,-83.45218197,857.575439,adult,ectoparasite; endoparasite,ectoparasite; endoparasite,,1
33466251,UNCG:Mamm:1561,Blarina brevicauda,United States,North Carolina,"Nantahala National Forest, Coweeta Hydrological Laboratory, 2.72 km ESE Albert Mountain, along Ball Creek Road",35.03837798,-83.45218197,857.575439,adult,ectoparasite; endoparasite,ectoparasite; endoparasite,,1
33466394,UNCG:Mamm:1532,Peromyscus maniculatus,United States,North Carolina,"Nantahala National Forest, Coweeta Hydrological Laboratory, 2.72 km ESE Albert Mountain, along Ball Creek Road",35.03897502,-83.45216797,983.037048,adult,ectoparasite,ectoparasite,endoparasite,1
33466673,UNCG:Mamm:1583,Sorex fumeus,United States,North Carolina,"Nantahala National Forest, Coweeta Hydrological Laboratory, 2.72 km ESE Albert Mountain, along Ball Creek Road",35.03834202,-83.45215799,977.121582,adult,ectoparasite; endoparasite,ectoparasite; endoparasite,,1
33610921,UNCG:Mamm:2178,Peromyscus maniculatus,United States,North Carolina,"Nantahala National Forest, Coweeta Hydrological Laboratory, 2.72 km ESE Albert Mountain, along Ball Creek Road",35.03896899,-83.45215498,987.836243,adult,ectoparasite,,ectoparasite; endoparasite,1
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
33466691,UNCG:Mamm:1550,Sorex fumeus,United States,North Carolina,"Nantahala National Forest, Coweeta Hydrological Laboratory, 2.72 km ESE Albert Mountain, along Ball Creek Road",35.03891802,-83.45212899,692.200012,adult,ectoparasite; endoparasite,ectoparasite; endoparasite,,1
33611241,UNCG:Mamm:2150,Sorex fumeus,United States,North Carolina,"Nantahala National Forest, Coweeta Hydrological Laboratory, 2.72 km ESE Albert Mountain, along Ball Creek Road",35.03916504,-83.45212304,973.655762,adult,ectoparasite; endoparasite,endoparasite,ectoparasite,1
33611414,UNCG:Mamm:3477,Peromyscus leucopus,United States,North Carolina,"Nantahala National Forest, Coweeta Hydrological Laboratory, 2.72 km ESE Albert Mountain, along Ball Creek Road",35.03924098,-83.452116,960.870972,adult,,,ectoparasite; endoparasite,1
33466991,UNCG:Mamm:1586,Blarina brevicauda,United States,North Carolina,"Nantahala National Forest, Coweeta Hydrological Laboratory, 2.72 km ESE Albert Mountain, along Ball Creek Road",35.03860999,-83.45209798,983.143066,adult,ectoparasite; endoparasite,ectoparasite; endoparasite,,1
,,,,,,,,,,,,,
33611378,UNCG:Mamm:2126,Sorex fumeus,United States,North Carolina,"Nantahala National Forest, Coweeta Hydrological Laboratory, 2.72 km ESE Albert Mountain, along Ball Creek Road",35.03910896,-83.45209496,976.065674,adult,ectoparasite; endoparasite,endoparasite,ectoparasite,1
,,,,,,,,,,,,,
,,,,,,,,,,,,,
